"","year","parent_entity","commodity","total_emissions_MtCO2e","total","avg_emissions"
"1",1970,"Abu Dhabi National Oil Company","Oil & NGL",10.2615522313373,10.2615522313373,188.734964781844
"2",1970,"Abu Dhabi National Oil Company","Natural Gas",3.92317219140648,3.92317219140648,57.3958505919839
"3",1971,"Abu Dhabi National Oil Company","Oil & NGL",13.6820696417831,13.6820696417831,201.952606534787
"4",1971,"Abu Dhabi National Oil Company","Natural Gas",5.32046639656495,5.32046639656495,58.4088106113395
"5",1972,"Abu Dhabi National Oil Company","Oil & NGL",15.137608965377,15.137608965377,216.613148701903
"6",1972,"Abu Dhabi National Oil Company","Natural Gas",5.80414515988904,5.80414515988904,58.2421457205257
"7",1973,"Abu Dhabi National Oil Company","Oil & NGL",46.9411431859046,46.9411431859046,235.024776166686
"8",1973,"Abu Dhabi National Oil Company","Natural Gas",7.09395519541994,7.09395519541994,61.3645102040335
"9",1974,"Abu Dhabi National Oil Company","Oil & NGL",120.474989813871,120.474989813871,238.622196391486
"10",1974,"Abu Dhabi National Oil Company","Natural Gas",7.09395519541994,7.09395519541994,62.2187148694305
"11",1975,"Abu Dhabi National Oil Company","Oil & NGL",119.881129769844,119.881129769844,210.902060374091
"12",1975,"Abu Dhabi National Oil Company","Natural Gas",6.26095288080623,6.26095288080623,63.206020054132
"13",1976,"Abu Dhabi National Oil Company","Oil & NGL",138.535321741024,138.535321741024,243.284113491179
"14",1976,"Abu Dhabi National Oil Company","Natural Gas",7.12620044630821,7.12620044630821,66.4695776829361
"15",1977,"Abu Dhabi National Oil Company","Oil & NGL",144.246858046807,144.246858046807,250.175407164255
"16",1977,"Abu Dhabi National Oil Company","Natural Gas",10.5781450108722,10.5781450108722,66.7341448065802
"17",1978,"Abu Dhabi National Oil Company","Oil & NGL",126.308791422835,126.308791422835,249.03443598334
"18",1978,"Abu Dhabi National Oil Company","Natural Gas",13.9197320666206,13.9197320666206,69.2270386580105
"19",1979,"Abu Dhabi National Oil Company","Oil & NGL",128.771563958356,128.771563958356,253.785660544531
"20",1979,"Abu Dhabi National Oil Company","Natural Gas",14.7274596383763,14.7274596383763,72.32429397494
"21",1980,"Abu Dhabi National Oil Company","Oil & NGL",117.313558403025,117.313558403025,237.460139643713
"22",1980,"Abu Dhabi National Oil Company","Natural Gas",18.5303772637638,18.5303772637638,71.8834219716655
"23",1981,"Abu Dhabi National Oil Company","Oil & NGL",98.9475632179162,98.9475632179162,216.516903367335
"24",1981,"Abu Dhabi National Oil Company","Natural Gas",22.7951575586401,22.7951575586401,73.413598938209
"25",1982,"Abu Dhabi National Oil Company","Oil & NGL",79.6471117870605,79.6471117870605,196.84435373783
"26",1982,"Abu Dhabi National Oil Company","Natural Gas",24.0027581674014,24.0027581674014,74.0521310921116
"27",1983,"Abu Dhabi National Oil Company","Oil & NGL",74.0578407844598,74.0578407844598,183.820531335931
"28",1983,"Abu Dhabi National Oil Company","Natural Gas",22.6653251953276,22.6653251953276,75.5925792331554
"29",1984,"Abu Dhabi National Oil Company","Oil & NGL",71.6125347208219,71.6125347208219,175.22133902268
"30",1984,"Abu Dhabi National Oil Company","Natural Gas",25.8962354823505,25.8962354823505,83.1836503832756
