"","year","parent_entity","commodity","total_emissions_MtCO2e","total","avg_emissions"
"1",1970,"BP","Oil & NGL",742.992419812778,742.992419812778,440.203023655119
"2",1971,"BP","Oil & NGL",804.309051574226,804.309051574226,440.203023655119
"3",1972,"BP","Oil & NGL",876.380954505574,876.380954505574,440.203023655119
"4",1973,"BP","Oil & NGL",878.31900511494,878.31900511494,440.203023655119
"5",1974,"BP","Oil & NGL",824.338291544405,824.338291544405,440.203023655119
"6",1975,"BP","Oil & NGL",688.681298815788,688.681298815788,440.203023655119
"7",1976,"BP","Oil & NGL",694.223410344304,694.223410344304,440.203023655119
"8",1977,"BP","Oil & NGL",717.879126539218,717.879126539218,440.203023655119
"9",1978,"BP","Oil & NGL",831.867214249627,831.867214249627,440.203023655119
"10",1979,"BP","Oil & NGL",728.195552603055,728.195552603055,440.203023655119
"11",1980,"BP","Oil & NGL",601.509498148437,601.509498148437,440.203023655119
"12",1981,"BP","Oil & NGL",582.096691842692,582.096691842692,440.203023655119
"13",1982,"BP","Oil & NGL",573.440321138307,573.440321138307,440.203023655119
"14",1983,"BP","Oil & NGL",548.940404896602,548.940404896602,440.203023655119
"15",1984,"BP","Oil & NGL",528.363167131982,528.363167131982,440.203023655119
"16",1985,"BP","Oil & NGL",501.085163874141,501.085163874141,440.203023655119
"17",1986,"BP","Oil & NGL",472.198989052677,472.198989052677,440.203023655119
"18",1987,"BP","Oil & NGL",481.373373042659,481.373373042659,440.203023655119
"19",1988,"BP","Oil & NGL",396.145364588832,396.145364588832,440.203023655119
"20",1989,"BP","Oil & NGL",376.694872974277,376.694872974277,440.203023655119
"21",1990,"BP","Oil & NGL",355.815759544167,355.815759544167,440.203023655119
"22",1991,"BP","Oil & NGL",335.697813424718,335.697813424718,440.203023655119
"23",1992,"BP","Oil & NGL",323.297814721388,323.297814721388,440.203023655119
"24",1993,"BP","Oil & NGL",324.566526600296,324.566526600296,440.203023655119
"25",1994,"BP","Oil & NGL",323.010096468793,323.010096468793,440.203023655119
"26",1995,"BP","Oil & NGL",312.442482201604,312.442482201604,440.203023655119
"27",1996,"BP","Oil & NGL",316.430261170354,316.430261170354,440.203023655119
"28",1997,"BP","Oil & NGL",315.034538531292,315.034538531292,440.203023655119
"29",1998,"BP","Oil & NGL",336.169767065669,336.169767065669,440.203023655119
"30",1999,"BP","Oil & NGL",338.56243444692,338.56243444692,440.203023655119
"31",2000,"BP","Oil & NGL",280.627981588912,280.627981588912,440.203023655119
"32",2001,"BP","Oil & NGL",281.06464338599,281.06464338599,440.203023655119
"33",2002,"BP","Oil & NGL",293.727835501257,293.727835501257,440.203023655119
"34",2003,"BP","Oil & NGL",308.719890534275,308.719890534275,440.203023655119
"35",2004,"BP","Oil & NGL",368.397002801627,368.397002801627,440.203023655119
"36",2005,"BP","Oil & NGL",372.909174704768,372.909174704768,440.203023655119
"37",2006,"BP","Oil & NGL",360.245982589501,360.245982589501,440.203023655119
"38",2007,"BP","Oil & NGL",351.367192715577,351.367192715577,440.203023655119
"39",2008,"BP","Oil & NGL",349.474991594905,349.474991594905,440.203023655119
"40",2009,"BP","Oil & NGL",368.979218531064,368.979218531064,440.203023655119
"41",2010,"BP","Oil & NGL",345.545035421202,345.545035421202,440.203023655119
"42",2011,"BP","Oil & NGL",313.959832099213,313.959832099213,440.203023655119
"43",2012,"BP","Oil & NGL",299.258884930914,299.258884930914,440.203023655119
"44",2013,"BP","Oil & NGL",293.14561977182,293.14561977182,440.203023655119
"45",2014,"BP","Oil & NGL",280.482427656553,280.482427656553,440.203023655119
"46",2015,"BP","Oil & NGL",297.657791674961,297.657791674961,440.203023655119
"47",2016,"BP","Oil & NGL",298.094453472039,298.094453472039,440.203023655119
"48",2017,"BP","Oil & NGL",328.951887132231,328.951887132231,440.203023655119
"49",2018,"BP","Oil & NGL",318.908665799433,318.908665799433,440.203023655119
